"SPrich" "USamp" "SC" "Lat"
65 253 0.9794 "(-65,-60]"
69 195 0.9677 "(-65,-60]"
49 94 0.9558 "(-65,-60]"
9 13 0.76 "(-65,-60]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
18 9 0.8303 "(-60,-55]"
9 9 0.2242 "(-60,-55]"
5 3 NA "(-60,-55]"
15 8 0.4755 "(-60,-55]"
37 32 0.902 "(-60,-55]"
58 68 0.9418 "(-60,-55]"
NA NA NA NA
1 1 NA "(-60,-55]"
1 1 NA "(-60,-55]"
NA NA NA NA
33 107 0.9644 "(-55,-50]"
37 83 0.9235 "(-55,-50]"
21 5 NA "(-55,-50]"
49 179 0.9863 "(-55,-50]"
41 76 0.9574 "(-55,-50]"
NA NA NA NA
1 1 NA "(-55,-50]"
NA NA NA NA
8 25 0.9305 "(-55,-50]"
NA NA NA NA
NA NA NA NA
8 14 0.8734 "(-50,-45]"
17 37 0.9244 "(-50,-45]"
4 1 NA "(-50,-45]"
2 1 NA "(-50,-45]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
13 43 0.9573 "(-45,-40]"
18 24 0.8094 "(-45,-40]"
1 1 NA "(-45,-40]"
2 1 NA "(-45,-40]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
2 1 NA "(-45,-40]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
2 1 NA "(-45,-40]"
5 7 0.6625 "(-40,-35]"
18 46 0.9083 "(-40,-35]"
3 2 NA "(-40,-35]"
NA NA NA NA
NA NA NA NA
1 1 NA "(-40,-35]"
NA NA NA NA
NA NA NA NA
6 26 0.9748 "(-40,-35]"
NA NA NA NA
NA NA NA NA
2 2 NA "(-40,-35]"
NA NA NA NA
10 7 0.4092 "(-40,-35]"
4 1 NA "(-35,-30]"
13 20 0.7312 "(-35,-30]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
4 3 NA "(-35,-30]"
9 9 0.5886 "(-35,-30]"
5 8 0.825 "(-35,-30]"
42 176 0.9753 "(-35,-30]"
30 56 0.8939 "(-30,-25]"
20 25 0.9279 "(-30,-25]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
1 1 NA "(-30,-25]"
NA NA NA NA
NA NA NA NA
2 2 NA "(-30,-25]"
2 3 NA "(-30,-25]"
4 6 1 "(-30,-25]"
4 3 NA "(-30,-25]"
51 706 0.9944 "(-25,-20]"
44 150 0.9672 "(-25,-20]"
9 13 0.8796 "(-25,-20]"
10 8 0.5377 "(-25,-20]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
2 1 NA "(-25,-20]"
1 1 NA "(-25,-20]"
6 2 NA "(-20,-15]"
35 84 0.9501 "(-20,-15]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
4 3 NA "(-20,-15]"
NA NA NA NA
1 1 NA "(-20,-15]"
9 5 NA "(-20,-15]"
28 77 0.9187 "(-15,-10]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
1 1 NA "(-15,-10]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
7 7 0.2895 "(-15,-10]"
17 23 0.8416 "(-10,-5]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
7 19 0.8322 "(-10,-5]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
NA NA NA NA
20 29 0.7125 "(-10,-5]"
NA NA NA NA
5 5 NA "(-5,0]"
5 9 0.9556 "(-5,0]"
11 27 0.8775 "(-5,0]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
1 1 NA "(-5,0]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
10 3 NA "(-5,0]"
12 7 0.3304 "(-5,0]"
3 6 0.898 "(0,5]"
5 2 NA "(0,5]"
1 1 NA "(0,5]"
NA NA NA NA
4 1 NA "(0,5]"
1 2 NA "(0,5]"
NA NA NA NA
NA NA NA NA
1 1 NA "(0,5]"
1 1 NA "(0,5]"
4 3 NA "(0,5]"
7 6 0.3827 "(0,5]"
6 6 0.3386 "(0,5]"
34 76 0.9497 "(5,10]"
44 126 0.9523 "(5,10]"
51 63 0.8675 "(5,10]"
10 37 0.9087 "(5,10]"
32 38 0.8427 "(5,10]"
16 11 0.5465 "(5,10]"
2 3 NA "(5,10]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
1 1 NA "(5,10]"
1 1 NA "(5,10]"
17 19 0.5771 "(5,10]"
1 1 NA "(5,10]"
9 5 NA "(5,10]"
2 2 NA "(5,10]"
29 18 0.6314 "(10,15]"
23 47 0.9191 "(10,15]"
84 240 0.9674 "(10,15]"
39 127 0.9355 "(10,15]"
82 53 0.6727 "(10,15]"
133 212 0.9315 "(10,15]"
NA NA NA NA
2 9 1 "(10,15]"
3 14 1 "(10,15]"
NA NA NA NA
1 8 1 "(10,15]"
1 2 NA "(10,15]"
1 2 NA "(10,15]"
7 5 NA "(10,15]"
65 132 0.9472 "(15,20]"
68 193 0.9387 "(15,20]"
18 24 0.7451 "(15,20]"
48 62 0.8495 "(15,20]"
40 20 0.562 "(15,20]"
84 285 0.9544 "(15,20]"
169 391 0.9527 "(15,20]"
NA NA NA NA
NA NA NA NA
2 4 NA "(15,20]"
NA NA NA NA
1 1 NA "(15,20]"
1 3 NA "(15,20]"
3 3 NA "(15,20]"
2 3 NA "(15,20]"
1 1 NA "(15,20]"
47 79 0.8982 "(20,25]"
64 128 0.978 "(20,25]"
115 670 0.9807 "(20,25]"
163 481 0.9634 "(20,25]"
44 75 0.7766 "(20,25]"
34 28 0.6763 "(20,25]"
2 3 NA "(20,25]"
NA NA NA NA
NA NA NA NA
1 1 NA "(20,25]"
1 9 1 "(20,25]"
NA NA NA NA
2 2 NA "(20,25]"
NA NA NA NA
3 2 NA "(20,25]"
9 6 0.3694 "(20,25]"
1 1 NA "(20,25]"
15 56 0.8633 "(25,30]"
65 207 0.9185 "(25,30]"
80 362 0.9451 "(25,30]"
140 1980 0.9871 "(25,30]"
51 52 0.7766 "(25,30]"
1 1 NA "(25,30]"
NA NA NA NA
NA NA NA NA
NA NA NA NA
1 2 NA "(25,30]"
2 2 NA "(25,30]"
NA NA NA NA
NA NA NA NA
2 3 NA "(25,30]"
2 3 NA "(25,30]"
9 25 0.7665 "(25,30]"
1 1 NA "(25,30]"
19 164 0.9566 "(30,35]"
71 481 0.9777 "(30,35]"
63 186 0.9471 "(30,35]"
NA NA NA NA
19 24 0.614 "(30,35]"
1 1 NA "(30,35]"
NA NA NA NA
1 1 NA "(30,35]"
1 1 NA "(30,35]"
1 1 NA "(30,35]"
2 3 NA "(30,35]"
1 8 1 "(30,35]"
11 15 0.6733 "(30,35]"
11 14 0.571 "(30,35]"
5 60 1 "(30,35]"
NA NA NA NA
NA NA NA NA
10 45 0.9857 "(30,35]"
1 1 NA "(30,35]"
57 818 0.9879 "(35,40]"
39 159 0.9689 "(35,40]"
9 18 0.8381 "(35,40]"
1 1 NA "(35,40]"
1 3 NA "(35,40]"
1 2 NA "(35,40]"
7 12 0.7381 "(35,40]"
26 61 0.7733 "(35,40]"
8 10 0.76 "(35,40]"
8 18 1 "(35,40]"
24 69 0.897 "(35,40]"
6 31 0.974 "(35,40]"
19 901 0.9983 "(35,40]"
8 43 0.9385 "(35,40]"
11 28 0.8572 "(35,40]"
12 95 1 "(35,40]"
14 121 0.9862 "(35,40]"
5 5 NA "(35,40]"
35 1208 0.9947 "(40,45]"
49 1391 0.9917 "(40,45]"
19 167 0.9662 "(40,45]"
16 95 0.9037 "(40,45]"
1 1 NA "(40,45]"
1 1 NA "(40,45]"
11 9 0.9 "(40,45]"
3 3 NA "(40,45]"
4 18 1 "(40,45]"
39 70 0.8893 "(40,45]"
43 159 0.979 "(40,45]"
23 1116 0.9948 "(40,45]"
22 349 0.9874 "(40,45]"
16 252 0.9882 "(40,45]"
4 11 0.9359 "(40,45]"
3 354 0.9944 "(40,45]"
4 157 1 "(40,45]"
3 68 1 "(40,45]"
12 127 0.995 "(45,50]"
11 2232 0.9996 "(45,50]"
13 352 0.991 "(45,50]"
16 104 0.9482 "(45,50]"
2 1 NA "(45,50]"
5 1 NA "(45,50]"
NA NA NA NA
4 11 1 "(45,50]"
72 579 0.9935 "(45,50]"
31 2027 0.9978 "(45,50]"
12 208 0.9977 "(45,50]"
1 17 1 "(40,45]"
1 238 1 "(45,50]"
4 9 0.9111 "(50,55]"
9 83 0.9698 "(50,55]"
8 47 0.9699 "(50,55]"
1 2 NA "(50,55]"
14 9 0.6952 "(50,55]"
3 4 NA "(50,55]"
20 66 0.9513 "(50,55]"
35 7334 0.999 "(50,55]"
18 18798 1 "(50,55]"
10 5700 0.9997 "(50,55]"
2 18 1 "(50,55]"
9 194 0.991 "(55,60]"
3 5 NA "(55,60]"
2 2 NA "(55,60]"
NA NA NA NA
2 3 NA "(55,60]"
37 124 0.9777 "(55,60]"
31 7982 0.9994 "(55,60]"
25 5965 0.9996 "(55,60]"
25 7490 0.9997 "(55,60]"
NA NA NA NA
12 269 1 "(60,65]"
11 28 0.8971 "(60,65]"
1 1 NA "(60,65]"
20 14 0.6203 "(60,65]"
27 39 0.8114 "(60,65]"
25 33 0.8168 "(60,65]"
40 3856 0.9991 "(60,65]"
36 2577 0.9994 "(60,65]"
NA NA NA NA
