"SPrich" "SPgaps" "USamp" "SC" "SC.LCL" "SC.UCL" "Lat"
89 0 555 0.988660064811942 0.984402908817163 0.992917220806721 "-65"
73 8 131 0.972123104371097 0.961494071750298 0.982752136991896 "-60"
79 4 476 0.987394970883973 0.982676590177172 0.992113351590773 "-55"
22 15 53 0.92389486260454 0.871725483340102 0.976064241868978 "-50"
28 10 71 0.913149583692219 0.873909218935549 0.95238994844889 "-45"
37 11 91 0.873829735629396 0.836006479182581 0.911652992076211 "-40"
61 11 217 0.947558893820416 0.927644819119906 0.967472968520927 "-35"
46 28 96 0.920896323298114 0.890451060837411 0.951341585758818 "-30"
72 26 879 0.992282520524276 0.989187029557601 0.995378011490952 "-25"
47 42 95 0.916195107574418 0.891529163517953 0.940861051630883 "-20"
35 52 85 0.889102048394084 0.844383456666801 0.933820640121367 "-15"
40 61 71 0.823446327683616 0.763880412389178 0.883012242978054 "-10"
33 71 52 0.764673311184939 0.676631090951281 0.852715531418597 "-5"
27 78 29 0.519065613191343 0.349972329164984 0.688158897217702 "0"
134 41 383 0.94230527577474 0.92945376570836 0.955156785841121 "5"
208 46 737 0.960953583984387 0.953774264496177 0.968132903472596 "10"
222 52 1122 0.981080789721354 0.976805114224841 0.985356465217868 "15"
220 49 1485 0.985244839553309 0.982430797326264 0.988058881780355 "20"
189 45 2694 0.989321174037978 0.987042498720394 0.991599849355561 "25"
129 36 1005 0.975989041053957 0.970759200794207 0.981218881313707 "30"
125 14 2395 0.990230437448823 0.987507769214968 0.992953105682679 "35"
119 12 5429 0.996016425517383 0.994876961752872 0.997155889281894 "40"
99 13 5896 0.9986291544756 0.998019681697277 0.999238627253923 "45"
60 26 32070 0.999595802915 0.999440976389237 0.999750629440764 "50"
66 15 21765 0.999740744324493 0.999599420363479 0.999882068285507 "55"
66 0 6817 0.999478723421977 0.999206650069472 0.999750796774481 "60"
