-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.667	0.577	3	1.664	1.031	62	1.669	0.902	514	1.681	0.862	1233	
2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	2.284	1.221	1719	
2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	2.377	1.290	1740	
2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	2.343	1.280	1731	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.400	0.548	5	2.006	1.128	70	2.181	1.182	643	2.219	1.213	1586	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1.111	0.319	36	1.196	0.468	358	
1.444	0.652	36	1.444	0.652	36	1.444	0.652	36	1.366	0.637	164	1.412	0.675	751	1.402	0.672	1007	1.402	0.672	1007	1.402	0.672	1007	1.402	0.672	1007	
1.672	0.854	1287	1.672	0.854	1287	1.672	0.854	1287	1.663	0.846	1356	1.663	0.845	1357	1.663	0.845	1357	1.663	0.845	1357	1.663	0.845	1357	1.663	0.845	1357	
2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	2.138	1.173	1651	
2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	2.972	1.567	1847	
3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	3.279	1.707	1919	
3.305	1.675	1915	3.305	1.675	1915	3.305	1.675	1915	3.304	1.674	1915	3.304	1.674	1915	3.304	1.674	1915	3.304	1.674	1915	3.304	1.674	1915	3.304	1.674	1915	
3.166	1.677	1808	3.166	1.677	1808	3.166	1.677	1808	3.153	1.661	1902	3.154	1.657	1905	3.154	1.657	1905	3.154	1.657	1905	3.154	1.657	1905	3.154	1.657	1905	
3.050	1.883	64	3.050	1.883	64	3.050	1.883	64	2.942	1.575	313	2.917	1.584	1393	2.913	1.534	1850	2.911	1.527	1853	2.911	1.527	1853	2.911	1.527	1853	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.569	0.989	6	2.547	1.437	127	2.521	1.367	900	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2.139	1.100	159	2.139	1.100	159	2.139	1.100	159	2.139	1.100	159	2.139	1.100	159	2.073	1.171	701	2.103	1.147	1555	2.102	1.146	1654	2.102	1.146	1654	
2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	2.701	1.453	1827	
3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	3.359	1.736	1912	
4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	4.900	2.197	1982	
