-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.667	0.577	3	1.628	0.943	62	1.657	0.875	514	1.670	0.839	1233	
2.048	0.898	1719	2.048	0.898	1719	2.049	0.898	1719	2.055	0.899	1719	2.051	0.899	1719	2.049	0.897	1719	2.049	0.898	1719	2.047	0.895	1719	2.047	0.895	1719	
2.109	0.930	1740	2.109	0.930	1740	2.110	0.930	1740	2.111	0.930	1740	2.111	0.931	1740	2.110	0.930	1740	2.109	0.929	1740	2.109	0.929	1740	2.109	0.929	1740	
2.083	0.921	1731	2.083	0.921	1731	2.083	0.921	1731	2.088	0.921	1731	2.086	0.924	1731	2.081	0.916	1731	2.081	0.919	1731	2.082	0.921	1731	2.083	0.923	1731	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.400	0.548	5	1.981	1.093	70	2.131	1.070	643	2.173	1.139	1586	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1.111	0.319	36	1.196	0.468	358	
1.444	0.652	36	1.444	0.652	36	1.444	0.652	36	1.366	0.637	164	1.409	0.668	751	1.391	0.646	1007	1.369	0.599	1007	1.352	0.571	1007	1.349	0.565	1007	
1.664	0.841	1287	1.664	0.841	1287	1.665	0.842	1287	1.655	0.830	1356	1.603	0.734	1357	1.572	0.696	1357	1.567	0.688	1357	1.566	0.688	1357	1.566	0.688	1357	
2.032	1.004	1651	2.031	1.001	1651	2.042	1.022	1651	2.011	0.975	1651	1.938	0.891	1651	1.931	0.883	1651	1.931	0.884	1651	1.932	0.885	1651	1.932	0.884	1651	
2.599	1.137	1847	2.597	1.135	1847	2.614	1.149	1847	2.574	1.106	1847	2.530	1.077	1847	2.524	1.070	1847	2.523	1.068	1847	2.523	1.066	1847	2.524	1.068	1847	
2.789	1.167	1919	2.788	1.167	1919	2.809	1.183	1919	2.779	1.162	1919	2.724	1.116	1919	2.720	1.113	1919	2.721	1.113	1919	2.723	1.114	1919	2.723	1.115	1919	
2.923	1.282	1915	2.921	1.279	1915	2.959	1.321	1915	2.888	1.228	1915	2.755	1.117	1915	2.749	1.111	1915	2.744	1.105	1915	2.745	1.106	1915	2.746	1.106	1915	
3.033	1.507	1808	3.034	1.507	1808	3.052	1.530	1808	3.006	1.499	1902	2.731	1.197	1905	2.649	1.113	1905	2.644	1.106	1905	2.642	1.100	1905	2.642	1.097	1905	
2.727	1.435	64	2.727	1.435	64	2.708	1.413	64	2.808	1.412	313	2.820	1.423	1393	2.743	1.338	1850	2.559	1.121	1853	2.491	1.061	1853	2.485	1.055	1853	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.311	0.484	6	2.468	1.294	127	2.437	1.261	900	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2.078	1.035	159	2.078	1.035	159	2.078	1.035	159	2.078	1.035	159	2.078	1.035	159	2.045	1.117	701	2.068	1.087	1555	1.982	0.973	1654	1.920	0.882	1654	
2.370	1.037	1827	2.369	1.036	1827	2.386	1.056	1827	2.436	1.117	1827	2.381	1.055	1827	2.333	1.015	1827	2.327	1.014	1827	2.327	1.013	1827	2.326	1.014	1827	
2.756	1.114	1912	2.756	1.114	1912	2.756	1.114	1912	2.758	1.113	1912	2.760	1.116	1912	2.756	1.110	1912	2.753	1.105	1912	2.754	1.106	1912	2.754	1.105	1912	
3.630	1.161	1982	3.630	1.161	1982	3.630	1.161	1982	3.631	1.161	1982	3.632	1.162	1982	3.631	1.157	1982	3.628	1.150	1982	3.628	1.147	1982	3.629	1.149	1982	
